###Total Requests###,,,,,,,,,,
Type,Requests,% of Total,,,,,,,,
Blocked,0,0,,,,,,,,
Allowed,"3,130,922",100,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Allowed Requests###,,,,,,,,,,
User,Requests,% of Total,,,,,,,,
10.8.8.169,"617,886",39.03,,,,,,,,
user1 ,"218,251",13.79,,,,,,,,
10.8.7.2,"172,290",10.88,,,,,,,,
10.8.8.245,"138,775",8.77,,,,,,,,
10.8.168.10,"136,952",8.65,,,,,,,,
10.8.8.50,"101,267",6.4,,,,,,,,
10.8.8.155,"53,147",3.36,,,,,,,,
10.8.8.152,"51,752",3.27,,,,,,,,
10.8.8.128,"48,175",3.04,,,,,,,,
10.8.8.97,"44,751",2.83,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Blocked Requests###,,,,,,,,,,
No matching log data for this report,,,,,,,,,,
,,,,,,,,,,
###Requests Summary###,,,,,,,,,,
Time Stamp,Allowed Request,Blocked Request,,,,,,,,
1675911600,1417566752,4217118550,,,,,,,,
1675915200,556073380,7771010761,,,,,,,,
1675918800,611826569,6663889764,,,,,,,,
1675922400,1188205258,4546551876,,,,,,,,
1675926000,1442814903,3881103895,,,,,,,,
1675929600,489780521,3578879609,,,,,,,,
1675933200,8910286731,12570127967,,,,,,,,
1675936800,162628970,3654681656,,,,,,,,
1675940400,106305564,670134298,,,,,,,,
1675944000,97956198,472219095,,,,,,,,
1675947600,80015784,516781069,,,,,,,,
1675951200,113581305,894969120,,,,,,,,
1675954800,100924563,569733261,,,,,,,,
1675958400,100213030,1418665151,,,,,,,,
1675962000,99684713,1188411654,,,,,,,,
1675965600,91620532,803446115,,,,,,,,
1675969200,102539140,686810409,,,,,,,,
1675972800,88948233,625327885,,,,,,,,
1675976400,106264621,1548500875,,,,,,,,
1675980000,91967770,771284042,,,,,,,,
1675983600,97756976,850150961,,,,,,,,
1675987200,540164339,1812451007,,,,,,,,
1675990800,2258940435,5003011317,,,,,,,,
1675994400,865452221,4174106823,,,,,,,,
1675998000,1002469479,2630582744,,,,,,,,
1676001600,773617232,2616328342,,,,,,,,
1676005200,1061969246,13216895676,,,,,,,,
1676008800,847505260,5376916593,,,,,,,,
1676012400,695506782,2830693330,,,,,,,,
1676016000,857248166,3870828229,,,,,,,,
1676019600,1173606549,2328310333,,,,,,,,
1676023200,358550134,994306144,,,,,,,,
1676026800,104326216,974436650,,,,,,,,
1676030400,87424264,570655115,,,,,,,,
1676034000,89476609,711793135,,,,,,,,
1676037600,92331167,672318650,,,,,,,,
1676041200,90737211,677843127,,,,,,,,
1676044800,102356575,1210891215,,,,,,,,
1676048400,102353777,1242871503,,,,,,,,
1676052000,91533956,883337903,,,,,,,,
1676055600,97720771,1026827870,,,,,,,,
1676059200,101998295,1214174487,,,,,,,,
1676062800,121497044,1533344877,,,,,,,,
1676066400,110935316,1544725759,,,,,,,,
1676070000,105450674,632807335,,,,,,,,
1676073600,89724529,739617945,,,,,,,,
1676077200,92124888,797892469,,,,,,,,
1676080800,98633393,1104367357,,,,,,,,
1676084400,105594528,1064427572,,,,,,,,
1676088000,101361629,1111457866,,,,,,,,
1676091600,87892628,777322261,,,,,,,,
1676095200,102344695,644181701,,,,,,,,
1676098800,83108275,602403389,,,,,,,,
1676102400,105563231,949865574,,,,,,,,
1676106000,115371441,1363175817,,,,,,,,
1676109600,93965181,1317840953,,,,,,,,
1676113200,91140571,687398793,,,,,,,,
1676116800,90480467,569542191,,,,,,,,
1676120400,91976246,621052161,,,,,,,,
1676124000,92799824,669516126,,,,,,,,
1676127600,91485716,667480030,,,,,,,,
1676131200,99088310,945274759,,,,,,,,
1676134800,100973346,617095961,,,,,,,,
1676138400,84695983,704210644,,,,,,,,
1676142000,95127181,959296126,,,,,,,,
